"FoG_taxon_uid","lower","upper"
"1883",-9000,-8700
"1884",0,300
"1885",300,1200
"1886",900,1200
"1887",300,2100
"1888",0,600
"1889",300,600
"189",1500,1800
"1890",300,600
"1891",0,900
"1892",0,600
"1893",1500,2400
"1894",0,1200
"1895",1500,1800
"1896",0,1500
"1898",0,300
"19",600,2100
"190",1200,2400
"1901",900,2400
"1903",300,600
"1904",0,1200
"1905",0,300
"1907",0,2100
"1909",0,300
"191",1500,1800
"1910",300,600
"1911",300,600
"1912",0,1800
"1914",300,1200
"1915",0,1200
"1916",600,900
"1917",0,1800
"1918",0,300
"1919",300,900
"1920",600,900
"1921",0,300
"1922",0,300
"1923",0,300
"1924",0,1500
"1925",0,2100
"1927",300,900
"1928",600,1200
"1929",300,1800
"193",1500,1800
"1930",0,1500
"1931",300,600
"1933",0,600
"1934",300,1800
"1935",300,1500
"1936",300,1200
"1937",0,2100
"194",1500,2100
"1940",0,2100
"1941",300,600
"1942",1500,1800
"1943",0,600
"1944",0,1500
"1945",0,1200
"1948",300,600
"1949",0,900
"195",900,1800
"1951",900,2100
"1952",0,300
"1953",0,300
"1954",0,300
"1955",-9000,-8700
"1956",600,900
"1957",0,1500
"1958",0,1500
"1959",0,1200
"1960",900,1200
"1962",-9000,-8700
"1963",0,2400
"1964",0,300
"1965",0,900
"1966",0,2100
"1968",-9000,-8700
"1969",900,2100
"197",1500,2100
"1970",2100,2700
"1971",1500,2400
"1972",1800,2100
"1973",0,1800
"1974",300,1200
"1975",-9000,-8700
"1976",600,2100
"1977",600,2700
"1978",-9000,-8700
"198",1200,2100
"1980",900,2100
"1981",0,1800
"1982",300,2100
"1984",0,300
"1985",0,600
"1986",0,1200
"1987",0,2100
"1988",1200,2400
"1989",900,1500
"1990",600,1800
"1991",600,2100
"1992",0,300
"1993",0,900
"1994",0,900
"1995",0,900
"1996",-9000,-8700
"1997",0,1200
"1998",0,1800
"1999",0,2400
"2",300,2400
"20",0,1800
"200",900,1200
"2000",300,2100
"2001",0,1800
"2003",-9000,-8700
"2004",900,2100
"2005",900,1200
"2006",2100,2700
"2007",900,2100
"2008",1200,2400
"2009",1800,2100
"201",1200,1500
"2010",300,600
"2011",1200,2100
"2012",1500,1800
"2014",0,1500
"2015",1500,1800
"2016",0,2400
"202",1200,1500
"2020",0,1800
"2021",300,1800
"2022",900,2100
"2023",1200,2400
"2024",1500,2100
"2025",600,2100
"2026",1200,1800
"2027",0,300
"2028",0,900
"2029",0,1200
